section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
15084,AFAM,125D,01,Discussion Section,F 9.25-10.15 ONLINE,F 9:25am-10:15am,ONLINE,F 9:25am-10:15am in ONLINE,"{'Friday': ('9:25', '10:15', 'ONLINE')}"
15088,AFAM,125D,02,Discussion Section,Th 1.30-2.20 ONLINE,Th 1:30pm-2:20pm,ONLINE,Th 1:30pm-2:20pm in ONLINE,"{'Thursday': ('13:30', '14:20', 'ONLINE')}"
15092,AFAM,125D,03,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15096,AFAM,125D,04,Discussion Section,Th 7.00-7.50p ONLINE,Th 7:00pm-7:50pm,ONLINE,Th 7:00pm-7:50pm in ONLINE,"{'Thursday': ('19:00', '19:50', 'ONLINE')}"
15100,AFAM,125D,05,Discussion Section,W 1.30-2.20 ONLINE,W 1:30pm-2:20pm,ONLINE,W 1:30pm-2:20pm in ONLINE,"{'Wednesday': ('13:30', '14:20', 'ONLINE')}"
15104,AFAM,125D,06,Discussion Section,F 2.30-3.20 ONLINE,F 2:30pm-3:20pm,ONLINE,F 2:30pm-3:20pm in ONLINE,"{'Friday': ('14:30', '15:20', 'ONLINE')}"
15108,AFAM,125D,07,Discussion Section,W 8.00-8.50p ONLINE,W 8:00pm-8:50pm,ONLINE,W 8:00pm-8:50pm in ONLINE,"{'Wednesday': ('20:00', '20:50', 'ONLINE')}"
15112,AFAM,125D,08,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15755,AFAM,125D,09,Discussion Section,Th 3.30-4.20,Th 3:30pm-4:20pm,,Th 3:30pm-4:20pm,"{'Thursday': ('15:30', '16:20', '')}"
15759,AFAM,125D,10,Discussion Section,Th 8.00-8.50p,Th 8:00pm-8:50pm,,Th 8:00pm-8:50pm,"{'Thursday': ('20:00', '20:50', '')}"
15425,AFAM,160D,01,Discussion Section,,,,,{}
15429,AFAM,160D,02,Discussion Section,,,,,{}
15433,AFAM,160D,03,Discussion Section,,,,,{}
15437,AFAM,160D,04,Discussion Section,,,,,{}
15441,AFAM,160D,05,Discussion Section,,,,,{}
15445,AFAM,160D,06,Discussion Section,,,,,{}
15413,AFAM,160D,07,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15417,AFAM,160D,08,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15421,AFAM,160D,09,Discussion Section,,,,,{}
16132,AFAM,160D,10,Discussion Section,T 4.00-4.50,T 4:00pm-4:50pm,,T 4:00pm-4:50pm,"{'Tuesday': ('16:00', '16:50', '')}"
16136,AFAM,160D,11,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
15232,AFAM,190D,01,Discussion Section,Th 1.30-2.20 ONLINE,Th 1:30pm-2:20pm,ONLINE,Th 1:30pm-2:20pm in ONLINE,"{'Thursday': ('13:30', '14:20', 'ONLINE')}"
15234,AFAM,190D,02,Discussion Section,Th 2.30-3.20 ONLINE,Th 2:30pm-3:20pm,ONLINE,Th 2:30pm-3:20pm in ONLINE,"{'Thursday': ('14:30', '15:20', 'ONLINE')}"
15236,AFAM,190D,03,Discussion Section,T 1.30-2.20 ONLINE,T 1:30pm-2:20pm,ONLINE,T 1:30pm-2:20pm in ONLINE,"{'Tuesday': ('13:30', '14:20', 'ONLINE')}"
15238,AFAM,190D,04,Discussion Section,W 9.25-10.15 ONLINE,W 9:25am-10:15am,ONLINE,W 9:25am-10:15am in ONLINE,"{'Wednesday': ('9:25', '10:15', 'ONLINE')}"
15827,AFST,175D,01,Discussion Section,,,,,{}
15426,AFST,184D,01,Discussion Section,,,,,{}
15430,AFST,184D,02,Discussion Section,,,,,{}
15434,AFST,184D,03,Discussion Section,,,,,{}
15438,AFST,184D,04,Discussion Section,,,,,{}
15442,AFST,184D,05,Discussion Section,,,,,{}
15446,AFST,184D,06,Discussion Section,,,,,{}
15414,AFST,184D,07,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15418,AFST,184D,08,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15422,AFST,184D,09,Discussion Section,,,,,{}
16133,AFST,184D,10,Discussion Section,T 4.00-4.50,T 4:00pm-4:50pm,,T 4:00pm-4:50pm,"{'Tuesday': ('16:00', '16:50', '')}"
16137,AFST,184D,11,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
15346,AFST,220D,01,Discussion Section,W 5.00-5.50 ONLINE,W 5:00pm-5:50pm,ONLINE,W 5:00pm-5:50pm in ONLINE,"{'Wednesday': ('17:00', '17:50', 'ONLINE')}"
15349,AFST,220D,02,Discussion Section,W 7.00-7.50p ONLINE,W 7:00pm-7:50pm,ONLINE,W 7:00pm-7:50pm in ONLINE,"{'Wednesday': ('19:00', '19:50', 'ONLINE')}"
15352,AFST,220D,03,Discussion Section,,,,,{}
15355,AFST,220D,04,Discussion Section,F 10.30-11.20 ONLINE,F 10:30am-11:20am,ONLINE,F 10:30am-11:20am in ONLINE,"{'Friday': ('10:30', '11:20', 'ONLINE')}"
16008,AFST,220D,05,Discussion Section,Th 10.30-11.20,Th 10:30am-11:20am,,Th 10:30am-11:20am,"{'Thursday': ('10:30', '11:20', '')}"
16011,AFST,220D,06,Discussion Section,,,,,{}
16014,AFST,220D,07,Discussion Section,,,,,{}
15085,AMST,125D,01,Discussion Section,F 9.25-10.15 ONLINE,F 9:25am-10:15am,ONLINE,F 9:25am-10:15am in ONLINE,"{'Friday': ('9:25', '10:15', 'ONLINE')}"
15089,AMST,125D,02,Discussion Section,Th 1.30-2.20 ONLINE,Th 1:30pm-2:20pm,ONLINE,Th 1:30pm-2:20pm in ONLINE,"{'Thursday': ('13:30', '14:20', 'ONLINE')}"
15093,AMST,125D,03,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15097,AMST,125D,04,Discussion Section,Th 7.00-7.50p ONLINE,Th 7:00pm-7:50pm,ONLINE,Th 7:00pm-7:50pm in ONLINE,"{'Thursday': ('19:00', '19:50', 'ONLINE')}"
15101,AMST,125D,05,Discussion Section,W 1.30-2.20 ONLINE,W 1:30pm-2:20pm,ONLINE,W 1:30pm-2:20pm in ONLINE,"{'Wednesday': ('13:30', '14:20', 'ONLINE')}"
15105,AMST,125D,06,Discussion Section,F 2.30-3.20 ONLINE,F 2:30pm-3:20pm,ONLINE,F 2:30pm-3:20pm in ONLINE,"{'Friday': ('14:30', '15:20', 'ONLINE')}"
15109,AMST,125D,07,Discussion Section,W 8.00-8.50p ONLINE,W 8:00pm-8:50pm,ONLINE,W 8:00pm-8:50pm in ONLINE,"{'Wednesday': ('20:00', '20:50', 'ONLINE')}"
15113,AMST,125D,08,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15756,AMST,125D,09,Discussion Section,Th 3.30-4.20,Th 3:30pm-4:20pm,,Th 3:30pm-4:20pm,"{'Thursday': ('15:30', '16:20', '')}"
15760,AMST,125D,10,Discussion Section,Th 8.00-8.50p,Th 8:00pm-8:50pm,,Th 8:00pm-8:50pm,"{'Thursday': ('20:00', '20:50', '')}"
15427,AMST,160D,01,Discussion Section,,,,,{}
15431,AMST,160D,02,Discussion Section,,,,,{}
15435,AMST,160D,03,Discussion Section,,,,,{}
15439,AMST,160D,04,Discussion Section,,,,,{}
15443,AMST,160D,05,Discussion Section,,,,,{}
15447,AMST,160D,06,Discussion Section,,,,,{}
15415,AMST,160D,07,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15419,AMST,160D,08,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15423,AMST,160D,09,Discussion Section,,,,,{}
16134,AMST,160D,10,Discussion Section,T 4.00-4.50,T 4:00pm-4:50pm,,T 4:00pm-4:50pm,"{'Tuesday': ('16:00', '16:50', '')}"
16138,AMST,160D,11,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
15233,AMST,204D,01,Discussion Section,Th 1.30-2.20 ONLINE,Th 1:30pm-2:20pm,ONLINE,Th 1:30pm-2:20pm in ONLINE,"{'Thursday': ('13:30', '14:20', 'ONLINE')}"
15235,AMST,204D,02,Discussion Section,Th 2.30-3.20 ONLINE,Th 2:30pm-3:20pm,ONLINE,Th 2:30pm-3:20pm in ONLINE,"{'Thursday': ('14:30', '15:20', 'ONLINE')}"
15237,AMST,204D,03,Discussion Section,T 1.30-2.20 ONLINE,T 1:30pm-2:20pm,ONLINE,T 1:30pm-2:20pm in ONLINE,"{'Tuesday': ('13:30', '14:20', 'ONLINE')}"
15239,AMST,204D,04,Discussion Section,W 9.25-10.15 ONLINE,W 9:25am-10:15am,ONLINE,W 9:25am-10:15am in ONLINE,"{'Wednesday': ('9:25', '10:15', 'ONLINE')}"
15589,AMST,239D,01,Discussion Section,W 4.00-4.50 ONLINE,W 4:00pm-4:50pm,ONLINE,W 4:00pm-4:50pm in ONLINE,"{'Wednesday': ('16:00', '16:50', 'ONLINE')}"
15591,AMST,239D,02,Discussion Section,Th 9.25-10.15 ONLINE,Th 9:25am-10:15am,ONLINE,Th 9:25am-10:15am in ONLINE,"{'Thursday': ('9:25', '10:15', 'ONLINE')}"
15593,AMST,239D,03,Discussion Section,,,,,{}
15595,AMST,239D,04,Discussion Section,F 10.30-11.20 ONLINE,F 10:30am-11:20am,ONLINE,F 10:30am-11:20am in ONLINE,"{'Friday': ('10:30', '11:20', 'ONLINE')}"
15993,AMST,239D,05,Discussion Section,,,,,{}
16151,AMST,239D,06,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
15468,ANTH,140D,01,Discussion Section,F 9.25-10.15 ONLINE,F 9:25am-10:15am,ONLINE,F 9:25am-10:15am in ONLINE,"{'Friday': ('9:25', '10:15', 'ONLINE')}"
15471,ANTH,140D,02,Discussion Section,F 10.30-11.20 ONLINE,F 10:30am-11:20am,ONLINE,F 10:30am-11:20am in ONLINE,"{'Friday': ('10:30', '11:20', 'ONLINE')}"
15474,ANTH,140D,03,Discussion Section,F 2.30-3.20 ONLINE,F 2:30pm-3:20pm,ONLINE,F 2:30pm-3:20pm in ONLINE,"{'Friday': ('14:30', '15:20', 'ONLINE')}"
15477,ANTH,140D,04,Discussion Section,F 3.30-4.20 ONLINE,F 3:30pm-4:20pm,ONLINE,F 3:30pm-4:20pm in ONLINE,"{'Friday': ('15:30', '16:20', 'ONLINE')}"
16017,ANTH,140D,05,Discussion Section,F 10.30-11.20,F 10:30am-11:20am,,F 10:30am-11:20am,"{'Friday': ('10:30', '11:20', '')}"
16020,ANTH,140D,06,Discussion Section,F 11.35-12.25,F 11:35am-12:25am,,F 11:35am-12:25am,"{'Friday': ('11:35', '12:25', '')}"
16076,ANTH,140D,07,Discussion Section,F 11.35-12.25,F 11:35am-12:25am,,F 11:35am-12:25am,"{'Friday': ('11:35', '12:25', '')}"
16079,ANTH,140D,08,Discussion Section,F 2.30-3.20,F 2:30pm-3:20pm,,F 2:30pm-3:20pm,"{'Friday': ('14:30', '15:20', '')}"
15449,ANTH,242D,01,Discussion Section,Th 10.30-11.20 ONLINE,Th 10:30am-11:20am,ONLINE,Th 10:30am-11:20am in ONLINE,"{'Thursday': ('10:30', '11:20', 'ONLINE')}"
15450,ANTH,242D,02,Discussion Section,Th 2.30-3.20 ONLINE,Th 2:30pm-3:20pm,ONLINE,Th 2:30pm-3:20pm in ONLINE,"{'Thursday': ('14:30', '15:20', 'ONLINE')}"
15451,ANTH,242D,03,Discussion Section,Th 9.25-10.15 ONLINE,Th 9:25am-10:15am,ONLINE,Th 9:25am-10:15am in ONLINE,"{'Thursday': ('9:25', '10:15', 'ONLINE')}"
15452,ANTH,242D,04,Discussion Section,Th 4.00-4.50 ONLINE,Th 4:00pm-4:50pm,ONLINE,Th 4:00pm-4:50pm in ONLINE,"{'Thursday': ('16:00', '16:50', 'ONLINE')}"
15240,ARCG,110D,01,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15242,ARCG,110D,02,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15244,ARCG,110D,03,Discussion Section,,,,,{}
15246,ARCG,110D,04,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15248,ARCG,110D,05,Discussion Section,,,,,{}
15250,ARCG,110D,06,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15252,ARCG,110D,07,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15254,ARCG,110D,08,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15260,ARCG,161D,01,Discussion Section,T 9.25-10.15 ONLINE,T 9:25am-10:15am,ONLINE,T 9:25am-10:15am in ONLINE,"{'Tuesday': ('9:25', '10:15', 'ONLINE')}"
15263,ARCG,161D,02,Discussion Section,,,,,{}
15266,ARCG,161D,03,Discussion Section,T 3.30-4.20 ONLINE,T 3:30pm-4:20pm,ONLINE,T 3:30pm-4:20pm in ONLINE,"{'Tuesday': ('15:30', '16:20', 'ONLINE')}"
15269,ARCG,161D,04,Discussion Section,T 8.00-8.50p ONLINE,T 8:00pm-8:50pm,ONLINE,T 8:00pm-8:50pm in ONLINE,"{'Tuesday': ('20:00', '20:50', 'ONLINE')}"
15272,ARCG,161D,05,Discussion Section,,,,,{}
15275,ARCG,161D,06,Discussion Section,W 10.30-11.20 ONLINE,W 10:30am-11:20am,ONLINE,W 10:30am-11:20am in ONLINE,"{'Wednesday': ('10:30', '11:20', 'ONLINE')}"
15278,ARCG,161D,07,Discussion Section,W 11.35-12.25 ONLINE,W 11:35am-12:25am,ONLINE,W 11:35am-12:25am in ONLINE,"{'Wednesday': ('11:35', '12:25', 'ONLINE')}"
15281,ARCG,161D,08,Discussion Section,W 2.30-3.20 ONLINE,W 2:30pm-3:20pm,ONLINE,W 2:30pm-3:20pm in ONLINE,"{'Wednesday': ('14:30', '15:20', 'ONLINE')}"
15284,ARCG,161D,09,Discussion Section,W 3.30-4.20 LC 207,W 3:30pm-4:20pm,LC 207,W 3:30pm-4:20pm in LC 207,"{'Wednesday': ('15:30', '16:20', 'LC 207')}"
15287,ARCG,161D,10,Discussion Section,,,,,{}
15290,ARCG,161D,11,Discussion Section,,,,,{}
15293,ARCG,161D,12,Discussion Section,Th 9.25-10.15 ONLINE,Th 9:25am-10:15am,ONLINE,Th 9:25am-10:15am in ONLINE,"{'Thursday': ('9:25', '10:15', 'ONLINE')}"
15296,ARCG,161D,13,Discussion Section,,,,,{}
15299,ARCG,161D,14,Discussion Section,Th 1.30-2.20 ONLINE,Th 1:30pm-2:20pm,ONLINE,Th 1:30pm-2:20pm in ONLINE,"{'Thursday': ('13:30', '14:20', 'ONLINE')}"
15302,ARCG,161D,15,Discussion Section,,,,,{}
15305,ARCG,161D,16,Discussion Section,,,,,{}
15308,ARCG,161D,17,Discussion Section,T 10.30-11.20 ONLINE,T 10:30am-11:20am,ONLINE,T 10:30am-11:20am in ONLINE,"{'Tuesday': ('10:30', '11:20', 'ONLINE')}"
15311,ARCG,161D,18,Discussion Section,T 2.30-3.20 ONLINE,T 2:30pm-3:20pm,ONLINE,T 2:30pm-3:20pm in ONLINE,"{'Tuesday': ('14:30', '15:20', 'ONLINE')}"
15314,ARCG,161D,19,Discussion Section,T 4.00-4.50 ONLINE,T 4:00pm-4:50pm,ONLINE,T 4:00pm-4:50pm in ONLINE,"{'Tuesday': ('16:00', '16:50', 'ONLINE')}"
15317,ARCG,161D,20,Discussion Section,W 1.30-2.20 ONLINE,W 1:30pm-2:20pm,ONLINE,W 1:30pm-2:20pm in ONLINE,"{'Wednesday': ('13:30', '14:20', 'ONLINE')}"
15320,ARCG,161D,21,Discussion Section,W 9.00-9.50p ONLINE,W 9:00pm-9:50pm,ONLINE,W 9:00pm-9:50pm in ONLINE,"{'Wednesday': ('21:00', '21:50', 'ONLINE')}"
15323,ARCG,161D,22,Discussion Section,Th 3.30-4.20 ONLINE,Th 3:30pm-4:20pm,ONLINE,Th 3:30pm-4:20pm in ONLINE,"{'Thursday': ('15:30', '16:20', 'ONLINE')}"
15326,ARCG,161D,23,Discussion Section,Th 5.00-5.50 ONLINE,Th 5:00pm-5:50pm,ONLINE,Th 5:00pm-5:50pm in ONLINE,"{'Thursday': ('17:00', '17:50', 'ONLINE')}"
15329,ARCG,161D,24,Discussion Section,,,,,{}
15332,ARCG,161D,25,Discussion Section,,,,,{}
15335,ARCG,161D,26,Discussion Section,,,,,{}
15338,ARCG,161D,27,Discussion Section,,,,,{}
15906,ARCG,161D,28,Discussion Section,W 10.30-11.20,W 10:30am-11:20am,,W 10:30am-11:20am,"{'Wednesday': ('10:30', '11:20', '')}"
15966,ARCG,161D,29,Discussion Section,Th 5.00-5.50,Th 5:00pm-5:50pm,,Th 5:00pm-5:50pm,"{'Thursday': ('17:00', '17:50', '')}"
15969,ARCG,161D,30,Discussion Section,T 10.30-11.20,T 10:30am-11:20am,,T 10:30am-11:20am,"{'Tuesday': ('10:30', '11:20', '')}"
15982,ARCG,161D,31,Discussion Section,T 10.30-11.20,T 10:30am-11:20am,,T 10:30am-11:20am,"{'Tuesday': ('10:30', '11:20', '')}"
16112,ARCG,161D,32,Discussion Section,W 1.30-2.20,W 1:30pm-2:20pm,,W 1:30pm-2:20pm,"{'Wednesday': ('13:30', '14:20', '')}"
16140,ARCG,161D,33,Discussion Section,W 10.30-11.20,W 10:30am-11:20am,,W 10:30am-11:20am,"{'Wednesday': ('10:30', '11:20', '')}"
16204,ARCG,161D,34,Discussion Section,W 3.30-4.20,W 3:30pm-4:20pm,,W 3:30pm-4:20pm,"{'Wednesday': ('15:30', '16:20', '')}"
16157,ARCH,3011D,01,Modern Arch. Discussion- Tobey,T 1.30-2.20,T 1:30pm-2:20pm,,T 1:30pm-2:20pm,"{'Tuesday': ('13:30', '14:20', '')}"
16160,ARCH,3011D,02,Modern Arch. Discu. Quack,T 2.30-3.20,T 2:30pm-3:20pm,,T 2:30pm-3:20pm,"{'Tuesday': ('14:30', '15:20', '')}"
16161,ARCH,3011D,03,Modern Arch. Discu. Ericson,T 3.30-4.20,T 3:30pm-4:20pm,,T 3:30pm-4:20pm,"{'Tuesday': ('15:30', '16:20', '')}"
16163,ARCH,3011D,10,Modern Arch. Discu. Ericson,T 4.30-5.20,T 4:30pm-5:20pm,,T 4:30pm-5:20pm,"{'Tuesday': ('16:30', '17:20', '')}"
